	time (sec)	xEast (m)	yNorth (m)	zUp (m)	vx (m/s)	vy (m/s)	vz (m/s)	head (deg)	pitch (deg)	roll (deg)
0	0.0	42.530525	-71.25009	2121.2415	0.0	0.0	0.0	33.41844	-2.4562333	0.72901607
1	0.1	42.53073	-71.24991	2121.7031	0.0	0.0	0.0	33.439175	-2.281102	0.76398396
2	0.2	42.530937	-71.249725	2122.1724	0.0	0.0	0.0	33.45927	-2.2073708	0.8023357
3	0.30000000000000004	42.531143	-71.249535	2122.6638	0.0	0.0	0.0	33.47232	-2.1607685	0.84052587
4	0.4	42.53135	-71.24935	2123.1746	0.0	0.0	0.0	33.48514	-2.1246443	0.8794134
5	0.5	42.531555	-71.24917	2123.7017	0.0	0.0	0.0	33.497696	-2.3649068	0.9319193
6	0.6000000000000001	42.531757	-71.248985	2124.2	0.0	0.0	0.0	33.513283	-2.5189226	0.98456085
7	0.7000000000000001	42.531963	-71.2488	2124.6611	0.0	0.0	0.0	33.539238	-2.3894513	1.0413318
8	0.8	42.53217	-71.24861	2125.117	0.0	0.0	0.0	33.5682	-2.297385	1.101311
9	0.9	42.53237	-71.24843	2125.5806	0.0	0.0	0.0	33.590744	-2.3105812	1.1609577
10	1.0	42.532578	-71.248245	2126.0496	0.0	0.0	0.0	33.605194	-2.4651315	1.2101483
11	1.1	42.532784	-71.24806	2126.4946	0.0	0.0	0.0	33.622227	-2.5598998	1.253606
12	1.2000000000000002	42.53299	-71.24787	2126.9146	0.0	0.0	0.0	33.64684	-2.6763732	1.2913818
13	1.3	42.533195	-71.24769	2127.2905	0.0	0.0	0.0	33.67096	-2.900974	1.3263608
14	1.4000000000000001	42.533398	-71.2475	2127.6055	0.0	0.0	0.0	33.69763	-3.0492573	1.3619722
15	1.5	42.533607	-71.247314	2127.8582	0.0	0.0	0.0	33.72371	-3.1824617	1.3986378
16	1.6	42.53381	-71.24712	2128.0454	0.0	0.0	0.0	33.74557	-3.3106577	1.4347928
17	1.7000000000000002	42.534016	-71.24694	2128.1692	0.0	0.0	0.0	33.768063	-3.4387407	1.4704039
18	1.8	42.53422	-71.24675	2128.2317	0.0	0.0	0.0	33.793304	-3.5677762	1.506212
19	1.9000000000000001	42.534424	-71.24657	2128.2324	0.0	0.0	0.0	33.818787	-3.6959467	1.5419351
20	2.0	42.53463	-71.246376	2128.1707	0.0	0.0	0.0	33.847248	-3.7259586	1.5392872
21	2.1	42.534836	-71.24619	2128.0674	0.0	0.0	0.0	33.88387	-3.654469	1.4380503
22	2.2	42.53504	-71.246	2127.9465	0.0	0.0	0.0	33.915417	-3.6653614	1.337653
23	2.3000000000000003	42.535244	-71.24582	2127.8125	0.0	0.0	0.0	33.871716	-3.6230595	1.3163358
24	2.4000000000000004	42.53545	-71.24563	2127.6765	0.0	0.0	0.0	33.626083	-3.581485	1.318976
25	2.5	42.535656	-71.24544	2127.5442	0.0	0.0	0.0	33.289825	-3.5568628	1.2746993
26	2.6	42.535843	-71.24527	2127.4292	0.0	0.0	0.0	33.28225	-3.5461416	1.1794318
27	2.7	42.536045	-71.24509	2127.3086	0.0	0.0	0.0	33.714977	-3.5439174	1.075338
28	2.8000000000000003	42.53625	-71.244896	2127.1936	0.0	0.0	0.0	34.42574	-3.541919	1.0537981
29	2.9000000000000004	42.536457	-71.244705	2127.086	0.0	0.0	0.0	34.788113	-3.4825547	1.168194
30	3.0	42.536663	-71.244514	2126.9946	0.0	0.0	0.0	34.68076	-3.3938317	1.3030709
31	3.1	42.536865	-71.24433	2126.9297	0.0	0.0	0.0	34.33815	-3.327597	1.3563284
32	3.2	42.53707	-71.24414	2126.8896	0.0	0.0	0.0	34.026253	-3.3664453	0.8356
33	3.3000000000000003	42.537277	-71.24395	2126.8567	0.0	0.0	0.0	33.88871	-3.392275	0.60479945
34	3.4000000000000004	42.537483	-71.24376	2126.8271	0.0	0.0	0.0	33.94928	-3.2641463	0.60710627
35	3.5	42.53769	-71.24357	2126.8215	0.0	0.0	0.0	34.11698	-3.1854646	0.6371853
36	3.6	42.53789	-71.24338	2126.8447	0.0	0.0	0.0	34.276234	-3.1253767	0.68791395
37	3.7	42.538097	-71.243195	2126.898	0.0	0.0	0.0	34.363632	-3.0593777	0.73546904
38	3.8000000000000003	42.538303	-71.243004	2126.9822	0.0	0.0	0.0	34.37376	-2.9876854	0.78505903
39	3.9000000000000004	42.53851	-71.24281	2127.0986	0.0	0.0	0.0	34.343388	-2.902259	0.8528272
40	4.0	42.538715	-71.242615	2127.2527	0.0	0.0	0.0	34.307484	-2.8195727	0.91680163
41	4.1000000000000005	42.53892	-71.24243	2127.441	0.0	0.0	0.0	34.293236	-2.7202797	0.9695842
42	4.2	42.539127	-71.24223	2127.6738	0.0	0.0	0.0	34.31866	-2.4143045	0.97226113
43	4.3	42.539337	-71.24204	2127.992	0.0	0.0	0.0	34.384254	-1.6039273	0.87347406
44	4.4	42.53954	-71.24185	2128.494	0.0	0.0	0.0	34.4558	-0.63351804	0.7577174
45	4.5	42.53974	-71.24166	2129.285	0.0	0.0	0.0	34.509285	0.5146629	0.64184684
46	4.6000000000000005	42.539948	-71.24147	2130.4521	0.0	0.0	0.0	34.54021	1.9662628	0.55024123
47	4.7	42.54015	-71.24128	2132.1199	0.0	0.0	0.0	34.556423	3.6776538	0.5045576
48	4.800000000000001	42.540356	-71.24109	2134.404	0.0	0.0	0.0	34.56815	5.207021	0.51771617
49	4.9	42.540558	-71.240906	2137.3472	0.0	0.0	0.0	34.57829	6.6840854	0.60465974
50	5.0	42.54076	-71.240715	2140.9531	0.0	0.0	0.0	34.59584	8.116957	0.67241824
51	5.1000000000000005	42.54096	-71.240524	2145.2036	0.0	0.0	0.0	34.6284	9.801193	0.7304602
52	5.2	42.541157	-71.24034	2150.1614	0.0	0.0	0.0	34.68802	12.213048	0.80236375
53	5.300000000000001	42.54135	-71.24016	2155.9675	0.0	0.0	0.0	34.752224	14.585308	0.8801147
54	5.4	42.541546	-71.239975	2162.7302	0.0	0.0	0.0	34.803455	16.848215	0.9566541
55	5.5	42.541737	-71.23979	2170.4219	0.0	0.0	0.0	34.844093	19.054749	1.0289268
56	5.6000000000000005	42.541927	-71.23962	2179.06	0.0	0.0	0.0	34.88577	21.237432	1.1001072
57	5.7	42.54211	-71.23944	2188.5645	0.0	0.0	0.0	34.93772	23.39025	1.1740619
